Date,Gross Domestic Product,GDP Oil Activities,GDP Non-Oil Activities,observation_date,exports_percent_gdp,Exports
2010-Q1,480428.86,201371.13,208194.93,2010-01-01,45.3985006515696,21810749.91
2010-Q2,477912.07,212310.07,199158.91,2010-04-01,47.9994152162790,22939499.88
2010-Q3,479432.42,210994.12,204003.49,2010-07-01,47.2324128207830,22644749.98
2010-Q4,543004.01,250929.96,198283.07,2010-10-01,49.3242209540518,26783249.77
2011-Q1,603134.11,283149.93,240588.73,2011-01-01,50.5559204082606,30492000.06
2011-Q2,637197.46,319401.35,230705.61,2011-04-01,53.7784630093583,34267500.03
2011-Q3,635905.72,327679.89,234437.07,2011-07-01,55.4445395010578,35257499.81
2011-Q4,661142.37,340735.82,231088.27,2011-10-01,55.5986524083827,36758624.82
2012-Q1,715423.61,367111.92,268536.12,2012-01-01,54.0644723004536,38678999.95
2012-Q2,687673.9,345935.03,255571.64,2012-04-01,53.4421181973285,36750749.85
2012-Q3,686867.91,327283.22,258554.82,2012-07-01,50.4370990755906,34643624.83
2012-Q4,691972.02,330333.23,257468.46,2012-10-01,51.3483553713471,35531625.19
2013-Q1,707855.93,318793.42,298277.34,2013-01-01,47.8651426662262,33881625.08
2013-Q2,702998.47,317987.17,282989.59,2013-04-01,47.9035538814564,33676125.09
2013-Q3,707458.1,324355.46,286572.8,2013-07-01,51.8018310029072,36647624.94
2013-Q4,708679.54,323297.58,285474.68,2013-10-01,51.8522448101154,36746625
2014-Q1,754283.63,327155.77,326468.79,2014-01-01,46.8016916451907,35301749.86
2014-Q2,739851.69,324607.35,311180.74,2014-04-01,47.0004668895176,34773374.86
2014-Q3,731515.19,303817.2,317121.74,2014-07-01,45.6106387960371,33364875.1
2014-Q4,649121.79,234910.58,314364.12,2014-10-01,38.4710165573112,24972375.13
2015-Q1,654710.35,163823.38,347095.72,2015-01-01,30.1375639275044,19731375.03
2015-Q2,652337.08,192997.26,334515.58,2015-04-01,33.4094911172700,21794249.88
2015-Q3,619818.18,159034.1,338921.32,2015-07-01,29.4037843437127,18225000.1
2015-Q4,583700.82,136359.71,336757.86,2015-10-01,28.4053909380438,16580249.98
2016-Q1,594201.06,109462.65,354955.37,2016-01-01,24.0581864727189,14295399.9
2016-Q2,623176.59,149079.56,344677.98,2016-04-01,27.8949825672518,17383500.11
2016-Q3,625046.18,157133.14,348753.99,2016-07-01,28.0706653012388,17545462.12
2016-Q4,655075.72,172165.13,347894.55,2016-10-01,30.0487735294360,19684221.95
2017-Q1,657878.39,178685.86,362815.44,2017-01-01,31.5215964104726,20737377.1
2017-Q2,650512.9,170875.92,352569.9,2017-04-01,29.1659523009489,18972828.21
2017-Q3,669249.64,174719.72,363192.84,2017-07-01,29.3296354763739,19628847.98
2017-Q4,703589.18,203183.89,360731.21,2017-10-01,33.8963080841852,23849075.61
2018-Q1,749238.65,236094.07,362205.65,2018-01-01,32.5977564799806,24423499.06
2018-Q2,798575.62,273781.99,356397.26,2018-04-01,35.1994252568569,28109402.85
2018-Q3,801570.61,284012.58,366036.47,2018-07-01,35.9833101029928,28843163.83
2018-Q4,825304.33,284269.9,367796.36,2018-10-01,35.1554953686481,29013982.55
2019-Q1,755656.83,223598.62,371497.26,2019-01-01,32.9630151409394,24908727.53
2019-Q2,788245,241462.4,373455.61,2019-04-01,32.0480318998219,25261700.9
2019-Q3,786489.26,236970.7,385509.02,2019-07-01,29.9907115696707,23587372.55
2019-Q4,814226.55,247756.49,388665.04,2019-10-01,29.8976190238144,24343435.19
2020-Q1,722186.58,179810.81,373685.31,2020-01-01,26.5406723773330,19167317.42
2020-Q2,598320.82,96839.15,332237.65,2020-04-01,19.9986226043443,11965592.28
2020-Q3,699669.48,161716.01,367364.94,2020-07-01,22.9507196445915,16057918.08
2020-Q4,733340.06,165833.92,381787.21,2020-10-01,24.5511863984797,18004368.51
2021-Q1,745677.5,177855.52,383510.02,2021-01-01,27.8983330449973,20803159.24
2021-Q2,776911.96,208937.71,370339.94,2021-04-01,29.8847934386042,23217853.44
2021-Q3,852652.15,251854.93,409230.72,2021-07-01,32.0873312372814,27359331.97
2021-Q4,902843.83,281279.96,419588.99,2021-10-01,35.6504796703571,32186815.61
2022-Q1,979448.46,364225.94,419955.22,2022-01-01,37.4806631101418,36710377.76
2022-Q2,1088322.08,469554.96,421434.82,2022-04-01,39.3085308261478,42780342.03
2022-Q3,1065228.57,422049,448203.45,2022-07-01,37.4620027144484,39905595.58
2022-Q4,1024144.08,352598.79,464898.65,2022-10-01,33.9774174334829,34797770.92
2023-Q1,1011430.2,327564.04,471809.45,2023-01-01,31.1851204551332,31541572.62
2023-Q2,978486.94,306272.64,463142.2,2023-04-01,30.1308404999845,29482633.92
2023-Q3,996833.06,318787.66,466726.24,2023-07-01,30.1287771118260,30033361.08
